                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76673,                 2.4832,                 1.1684,                0.27052,                0.07435,                0.01668,                 0.0069,                 2.1859,                 5.3825,                 2.9632,                0.06709,             0.00033242,             0.00033242
                      2,                0.82264,                 1.8372,                 1.2027,                0.21601,                0.12685,                0.04255,                0.01921,                 2.1913,                 5.3118,                 2.9873,               0.034077,             0.00065257,             0.00065257
                      3,                0.80963,                 1.7269,                 1.1842,                0.12981,                0.08286,                0.04426,                0.01797,                 2.3376,                 5.2147,                 2.9304,              0.0010506,             0.00095953,             0.00095953
                      4,                0.76228,                 1.4859,                 1.1384,                0.04826,                0.11959,                0.06812,                0.02849,                 2.2017,                 5.0913,                 2.9717,              0.0009406,              0.0009406,              0.0009406
                      5,                0.72408,                  1.476,                 1.1233,                0.12692,                0.04864,                0.02898,                0.01241,                 2.3761,                 6.1497,                  3.298,              0.0009208,              0.0009208,              0.0009208
                      6,                0.66825,                 1.3392,                 1.0913,                0.15469,                0.08971,                0.05542,                 0.0259,                 2.2038,                 5.0815,                 2.9238,               0.000901,               0.000901,               0.000901
                      7,                0.65197,                 1.2698,                 1.0803,                0.34509,                0.11393,                0.06553,                0.02625,                 2.4422,                 5.0504,                  3.243,              0.0008812,              0.0008812,              0.0008812
                      8,                0.61767,                 1.1985,                 1.0695,                 0.0629,                0.08558,                0.04435,                0.02469,                 2.4487,                 5.4097,                 3.3118,              0.0008614,              0.0008614,              0.0008614
                      9,                0.60492,                  1.166,                 1.0555,                0.18898,                0.10486,                0.06543,                 0.0357,                 2.2608,                 5.3272,                 3.1202,              0.0008416,              0.0008416,              0.0008416
                     10,                0.56715,                 1.0949,                 1.0389,                0.11147,                0.10131,                0.05723,                0.03286,                 2.4732,                  5.722,                 3.2358,              0.0008218,              0.0008218,              0.0008218
                     11,                0.54021,                 1.0561,                 1.0123,                0.09338,                0.08418,                0.05797,                0.02754,                 2.4567,                 5.7168,                 3.2233,               0.000802,               0.000802,               0.000802
                     12,                0.52044,                 1.0254,                 1.0097,                0.08492,                0.06071,                0.05279,                0.02482,                 2.5546,                 5.8646,                 3.3692,              0.0007822,              0.0007822,              0.0007822
                     13,                0.53234,                 1.0448,                 1.0232,                 0.1853,                0.06531,                0.03969,                0.02018,                 2.3517,                 6.0425,                 3.0838,              0.0007624,              0.0007624,              0.0007624
                     14,                0.52582,                 0.9915,                 1.0164,                0.08053,                0.06063,                0.04401,                0.01961,                 2.5735,                 6.1437,                 3.4152,              0.0007426,              0.0007426,              0.0007426
                     15,                0.50386,                0.94008,                 1.0106,                0.15244,                0.07311,                0.06028,                0.02122,                 2.6907,                 5.8102,                 3.4302,              0.0007228,              0.0007228,              0.0007228
                     16,                0.49786,                0.92506,                0.99674,                0.09227,                0.09675,                0.06691,                0.03104,                 2.7328,                 5.5709,                 3.6014,               0.000703,               0.000703,               0.000703
                     17,                 0.4558,                0.90711,                0.97561,                0.08719,                0.13846,                0.08323,                0.03755,                 2.5339,                 5.6978,                 3.3709,              0.0006832,              0.0006832,              0.0006832
                     18,                0.46439,                0.91863,                0.98332,                0.03259,                0.16975,                0.04618,                0.02524,                 2.6701,                 6.1358,                 3.5462,              0.0006634,              0.0006634,              0.0006634
                     19,                0.46733,                0.90698,                0.99034,                0.09719,                0.13067,                0.07206,                  0.032,                 2.5878,                 5.2125,                 3.4536,              0.0006436,              0.0006436,              0.0006436
                     20,                0.45632,                0.88423,                 0.9822,                0.20102,                0.09716,                0.07637,                0.04029,                 2.4872,                 5.5066,                 3.2938,              0.0006238,              0.0006238,              0.0006238
                     21,                0.44107,                0.85984,                0.98209,                0.33383,                0.08423,                0.07983,                0.04227,                 2.5089,                 5.5022,                 3.3351,               0.000604,               0.000604,               0.000604
